# "normed" heterozygosity normalized by value at which full satellite has one individual with a different allele than everyone else: 2(1/max_num)(1-1/max_num)
# "max_normed" normalized against maximum possible H in full satellite: 1 - 1/max_num
max_num,max_density,percent local,$\mu$,avg H,normed,max_normed,num. satellites,avg occupancy (in full enough),num satellites (full enough)
10,3.1831,60,1.5,0.01200930357142857,0.06671835317460316,0.013343670634920634,56,9.803571428571429,56
10,3.1831,65,1.5,0.012416232142857142,0.06897906746031744,0.013795813492063491,56,10.5,56
10,3.1831,70,1.5,0.004206730769230769,0.023370726495726492,0.004674145299145299,52,10.673076923076923,52
10,3.1831,75,1.5,0.0,0.0,0.0,27,10.925925925925926,27
10,3.1831,80,1.5,0.0,0.0,0.0,27,10.925925925925926,27
10,3.1831,85,1.5,0.0,0.0,0.0,27,11.11111111111111,27
10,3.1831,90,1.5,0.0029032258064516127,0.016129032258064512,0.003225806451612903,62,11.112903225806452,62
10,3.1831,95,1.5,0.0,0.0,0.0,39,11.461538461538462,39
10,3.1831,99,1.5,0.0,0.0,0.0,51,11.27450980392157,51
10,3.1831,0,1.75,0.047483333333333336,0.26379629629629625,0.05275925925925926,60,8.116666666666667,60
10,3.1831,5,1.75,0.035579193548387095,0.19766218637992827,0.03953243727598566,62,8.451612903225806,62
10,3.1831,10,1.75,0.03589448148148148,0.19941378600823043,0.03988275720164609,54,8.703703703703704,54
10,3.1831,15,1.75,0.04426884615384615,0.24593803418803414,0.04918760683760683,52,9.0,52
10,3.1831,20,1.75,0.0074335892857142856,0.041297718253968246,0.008259543650793651,56,8.732142857142858,56
10,3.1831,25,1.75,0.03407775862068965,0.1893208812260536,0.037864176245210726,58,9.258620689655173,58
10,3.1831,30,1.75,0.016704674698795184,0.0928037483266399,0.01856074966532798,83,8.951807228915662,83
10,3.1831,35,1.75,0.010409654545454545,0.057831414141414135,0.011566282828282828,55,9.236363636363636,55
10,3.1831,40,1.75,0.0,0.0,0.0,61,9.327868852459016,61
10,3.1831,45,1.75,0.012056019230769231,0.0669778846153846,0.013395576923076923,52,8.942307692307692,52
10,3.1831,50,1.75,0.01509374074074074,0.08385411522633743,0.01677082304526749,54,9.537037037037036,54
10,3.1831,55,1.75,0.007881396825396826,0.04378553791887125,0.008757107583774251,63,10.126984126984127,63
10,3.1831,60,1.75,0.007984709677419355,0.044359498207885296,0.00887189964157706,62,10.17741935483871,62
10,3.1831,65,1.75,0.007083821428571428,0.03935456349206348,0.007870912698412698,56,10.214285714285714,56
10,3.1831,70,1.75,0.0,0.0,0.0,53,10.358490566037736,53
10,3.1831,75,1.75,0.005649333333333333,0.031385185185185176,0.006277037037037036,57,11.31578947368421,57
10,3.1831,80,1.75,0.0024089146341463416,0.013382859078590785,0.0026765718157181575,82,10.902439024390244,82
10,3.1831,85,1.75,0.0,0.0,0.0,75,10.853333333333333,75
10,3.1831,90,1.75,0.0,0.0,0.0,72,11.277777777777779,72
10,3.1831,95,1.75,0.0,0.0,0.0,45,11.4,45
10,3.1831,99,1.75,0.0,0.0,0.0,24,11.833333333333334,24
10,3.1831,0,2.0,0.02302627272727273,0.12792373737373736,0.025584747474747475,55,7.836363636363636,55
10,3.1831,5,2.0,0.036160574074074074,0.20089207818930038,0.04017841563786008,54,8.092592592592593,54
10,3.1831,10,2.0,0.00995251923076923,0.05529177350427349,0.0110583547008547,52,8.173076923076923,52
