x,y,radial distance,birth gen,mutation
2.48556,2.81757,3.75722,1.0,0.0
-2.55934,2.03061,3.26705,1.0,0.0
-0.305569,-2.90258,2.91862,1.0,0.0
-1.90477,2.5819,3.20848,1.0,0.0
-2.68095,-1.09009,2.8941,1.0,0.0
-1.6735,-0.325783,1.70492,1.0,0.0
4.10395,1.854,4.5033,1.0,0.0
1.92717,1.91748,2.71859,1.0,0.0
-2.01587,0.00865093,2.01589,1.0,0.0
-4.62988,-1.24048,4.79318,1.0,0.0
-0.12947,-0.39801,0.418538,1.0,0.0
-1.43269,-3.43004,3.71723,1.0,0.0
2.81969,-0.0348136,2.8199,1.0,0.0
-2.20173,-0.995722,2.41641,1.0,0.0
-3.55248,2.33726,4.2524,1.0,0.0
0.389691,-1.28163,1.33956,1.0,0.0
-2.35079,1.72851,2.91787,1.0,0.0
-2.19243,2.67096,3.45555,1.0,0.0
-0.843446,-2.56154,2.69683,1.0,0.0
3.04205,-0.698181,3.12114,1.0,0.0
1.60356,-4.02014,4.32816,1.0,0.0
-2.18408,-1.00721,2.40513,1.0,0.0
-1.04571,-2.13917,2.38108,1.0,0.0
-0.960122,-2.90317,3.05781,1.0,0.0
-4.27578,1.37007,4.48992,1.0,0.0
-0.979675,3.01841,3.17341,1.0,0.0
-1.55336,-2.25539,2.73856,1.0,0.0
-1.28035,1.27147,1.80442,1.0,0.0
-1.35422,1.18669,1.80059,1.0,0.0
0.0854756,-0.384132,0.393527,1.0,0.0
2.7817,1.69791,3.25895,1.0,0.0
-0.81163,-0.339056,0.879604,1.0,0.0
0.497631,0.0783676,0.503764,1.0,0.0
-3.22738,4.38667,5.446,1.0,0.0
0.75477,-1.14007,1.36727,1.0,0.0
-3.59267,-0.417314,3.61682,1.0,0.0
-0.93179,-2.38951,2.56476,1.0,0.0
0.350211,-3.99773,4.01304,1.0,0.0
-3.57907,-0.866769,3.68253,1.0,0.0
-0.947427,0.185321,0.965381,1.0,0.0
0.406626,3.73052,3.75262,1.0,0.0
3.21115,0.626898,3.27178,1.0,0.0
-1.7153,-4.92438,5.21458,1.0,0.0
-2.93373,-0.533413,2.98183,1.0,0.0
-2.95152,0.78325,3.05368,1.0,0.0
0.269296,-0.305649,0.407359,1.0,0.0
-0.879093,0.460607,0.992453,1.0,0.0
0.65358,1.04428,1.23195,1.0,0.0
1.93935,2.67217,3.30175,1.0,0.0
-1.75225,1.55159,2.34047,1.0,0.0
0.70748,-0.373344,0.799946,1.0,0.0
1.08535,-2.53862,2.7609,1.0,0.0
0.816666,-3.58825,3.68001,1.0,0.0
1.65664,0.271157,1.67869,1.0,0.0
-1.49062,-2.21551,2.67029,1.0,0.0
-3.84671,-0.405938,3.86807,1.0,0.0
-0.704771,0.848288,1.10286,1.0,0.0
-2.31563,1.6538,2.84556,1.0,0.0
1.8469,1.62448,2.45967,1.0,0.0
4.53664,1.64964,4.82726,1.0,0.0
-1.80435,0.519368,1.87761,1.0,0.0
1.87216,-2.94263,3.4877,1.0,0.0
-0.797868,-0.309289,0.855718,1.0,0.0
-1.74341,-0.957595,1.98909,1.0,0.0
-1.33904,2.03484,2.4359,1.0,0.0
-4.65678,0.655282,4.70266,1.0,0.0
0.0325446,0.667403,0.668196,1.0,0.0
0.363288,-1.09921,1.15768,1.0,0.0
-1.77531,0.49837,1.84394,1.0,0.0
3.45238,3.19446,4.70356,1.0,0.0
-3.55157,-2.02876,4.09017,1.0,0.0
-2.73855,-2.86439,3.96288,1.0,0.0
-3.41949,0.231099,3.42729,1.0,0.0
2.27869,2.36682,3.28546,1.0,0.0
-2.04447,-0.22952,2.05732,1.0,0.0
-0.210821,-1.37588,1.39194,1.0,0.0
-0.261027,0.107511,0.282301,1.0,0.0
-1.28316,-0.574212,1.40578,1.0,0.0
-0.577835,-0.708066,0.913921,1.0,0.0
1.10771,-2.97277,3.17244,1.0,0.0
-0.356121,1.03105,1.09081,1.0,0.0
3.65785,1.25044,3.86568,1.0,0.0
-0.848552,-1.55269,1.76943,1.0,0.0
-0.620127,-2.59685,2.66986,1.0,0.0
-1.82294,-2.13019,2.80372,1.0,0.0
-1.10754,-2.99972,3.19765,1.0,0.0
-3.18842,0.97104,3.333,1.0,0.0
-0.948937,-0.0325122,0.949493,1.0,0.0
1.1981,2.0494,2.37392,1.0,0.0
-1.50703,-0.353859,1.54801,1.0,0.0
0.579662,1.79136,1.88281,1.0,0.0
0.424117,0.574066,0.713741,1.0,0.0
-2.40379,-2.22031,3.2723,1.0,0.0
-0.435554,-2.299,2.3399,1.0,0.0
-1.24674,-1.55442,1.99263,1.0,0.0
-0.517336,-2.37742,2.43306,1.0,0.0
